id,trial,condition,trial_condition,stimulus,stimulus_char,response,response_char,category,category_char,correct
2,1,1,1,2,circle-green,1,y,1,y,1
2,2,1,2,9,triangle-blue,1,y,0,x,0
2,3,1,3,5,square-green,1,y,0,x,0
2,4,1,4,1,circle-red,1,y,1,y,1
2,5,1,5,8,triangle-green,0,x,0,x,1
2,6,1,6,1,circle-red,1,y,1,y,1
2,7,1,7,5,square-green,0,x,0,x,1
2,8,1,8,2,circle-green,1,y,1,y,1
2,9,1,9,6,square-blue,0,x,0,x,1
2,10,1,10,7,triangle-red,0,x,0,x,1
2,11,1,11,7,triangle-red,0,x,0,x,1
2,12,1,12,9,triangle-blue,0,x,0,x,1
2,13,1,13,3,circle-blue,1,y,1,y,1
2,14,1,14,3,circle-blue,1,y,1,y,1
2,15,1,15,3,circle-blue,1,y,1,y,1
2,16,1,16,5,square-green,0,x,0,x,1
2,17,1,17,4,square-red,0,x,0,x,1
2,18,1,18,8,triangle-green,0,x,0,x,1
2,19,1,19,4,square-red,0,x,0,x,1
2,20,1,20,8,triangle-green,0,x,0,x,1
2,21,1,21,6,square-blue,0,x,0,x,1
2,22,1,22,6,square-blue,0,x,0,x,1
2,23,1,23,6,square-blue,0,x,0,x,1
2,24,1,24,9,triangle-blue,0,x,0,x,1
2,25,1,25,7,triangle-red,0,x,0,x,1
2,26,1,26,7,triangle-red,0,x,0,x,1
2,27,1,27,4,square-red,0,x,0,x,1
2,28,1,28,1,circle-red,1,y,1,y,1
2,29,1,29,2,circle-green,1,y,1,y,1
2,30,1,30,1,circle-red,1,y,1,y,1
2,31,1,31,2,circle-green,1,y,1,y,1
2,32,1,32,3,circle-blue,1,y,1,y,1
2,33,1,33,8,triangle-green,0,x,0,x,1
2,34,1,34,9,triangle-blue,0,x,0,x,1
2,35,1,35,5,square-green,0,x,0,x,1
2,36,1,36,4,square-red,0,x,0,x,1
2,37,1,37,5,square-green,0,x,0,x,1
2,38,1,38,4,square-red,0,x,0,x,1
2,39,1,39,9,triangle-blue,0,x,0,x,1
3,1,1,1,5,square-green,1,y,1,y,1
3,2,1,2,4,square-red,1,y,1,y,1
3,3,1,3,9,triangle-blue,0,x,1,y,0
3,4,1,4,8,triangle-green,1,y,1,y,1
3,5,1,5,3,circle-blue,1,y,0,x,0
3,6,1,6,7,triangle-red,1,y,1,y,1
3,7,1,7,8,triangle-green,1,y,1,y,1
3,8,1,8,9,triangle-blue,1,y,1,y,1
3,9,1,9,6,square-blue,1,y,1,y,1
3,10,1,10,5,square-green,1,y,1,y,1
3,11,1,11,7,triangle-red,1,y,1,y,1
3,12,1,12,2,circle-green,1,y,0,x,0
3,13,1,13,1,circle-red,0,x,0,x,1
3,14,1,14,1,circle-red,0,x,0,x,1
3,15,1,15,2,circle-green,0,x,0,x,1
3,16,1,16,6,square-blue,1,y,1,y,1
3,17,1,17,2,circle-green,0,x,0,x,1
3,18,1,18,9,triangle-blue,1,y,1,y,1
3,19,1,19,1,circle-red,0,x,0,x,1
3,20,1,20,4,square-red,1,y,1,y,1
3,21,1,21,6,square-blue,1,y,1,y,1
3,22,1,22,7,triangle-red,1,y,1,y,1
3,23,1,23,3,circle-blue,0,x,0,x,1
3,24,1,24,3,circle-blue,0,x,0,x,1
3,25,1,25,8,triangle-green,1,y,1,y,1
3,26,1,26,5,square-green,1,y,1,y,1
3,27,1,27,8,triangle-green,1,y,1,y,1
3,28,1,28,1,circle-red,0,x,0,x,1
3,29,1,29,6,square-blue,1,y,1,y,1
3,30,1,30,2,circle-green,0,x,0,x,1
3,31,1,31,4,square-red,1,y,1,y,1
3,32,1,32,5,square-green,1,y,1,y,1
3,33,1,33,9,triangle-blue,1,y,1,y,1
3,34,1,34,4,square-red,1,y,1,y,1
3,35,1,35,3,circle-blue,0,x,0,x,1
3,36,1,36,7,triangle-red,1,y,1,y,1
3,37,1,37,9,triangle-blue,1,y,1,y,1
3,38,1,38,6,square-blue,1,y,1,y,1
3,39,1,39,4,square-red,1,y,1,y,1
3,40,1,40,4,square-red,1,y,1,y,1
3,41,1,41,3,circle-blue,0,x,0,x,1
3,42,1,42,1,circle-red,0,x,0,x,1
3,43,1,43,5,square-green,1,y,1,y,1
3,44,1,44,8,triangle-green,1,y,1,y,1
3,45,1,45,6,square-blue,1,y,1,y,1
3,46,1,46,5,square-green,1,y,1,y,1
3,47,1,47,2,circle-green,0,x,0,x,1
3,48,1,48,7,triangle-red,1,y,1,y,1
4,1,1,1,7,triangle-red,1,y,0,x,0
4,2,1,2,3,circle-blue,1,y,1,y,1
4,3,1,3,1,circle-red,0,x,1,y,0
4,4,1,4,1,circle-red,1,y,1,y,1
4,5,1,5,3,circle-blue,1,y,1,y,1
4,6,1,6,7,triangle-red,0,x,0,x,1
4,7,1,7,5,square-green,0,x,0,x,1
4,8,1,8,3,circle-blue,1,y,1,y,1
4,9,1,9,5,square-green,0,x,0,x,1
4,10,1,10,7,triangle-red,0,x,0,x,1
4,11,1,11,4,square-red,0,x,0,x,1
4,12,1,12,1,circle-red,1,y,1,y,1
4,13,1,13,4,square-red,0,x,0,x,1
4,14,1,14,3,circle-blue,1,y,1,y,1
4,15,1,15,4,square-red,0,x,0,x,1
4,16,1,16,7,triangle-red,0,x,0,x,1
4,17,1,17,4,square-red,0,x,0,x,1
4,18,1,18,8,triangle-green,1,y,0,x,0
4,19,1,19,2,circle-green,1,y,1,y,1
4,20,1,20,9,triangle-blue,0,x,0,x,1
4,21,1,21,2,circle-green,1,y,1,y,1
4,22,1,22,6,square-blue,0,x,0,x,1
4,23,1,23,6,square-blue,0,x,0,x,1
4,24,1,24,6,square-blue,0,x,0,x,1
4,25,1,25,9,triangle-blue,0,x,0,x,1
4,26,1,26,2,circle-green,1,y,1,y,1
4,27,1,27,8,triangle-green,1,y,0,x,0
4,28,1,28,5,square-green,0,x,0,x,1
4,29,1,29,2,circle-green,1,y,1,y,1
4,30,1,30,9,triangle-blue,0,x,0,x,1
4,31,1,31,8,triangle-green,0,x,0,x,1
4,32,1,32,6,square-blue,0,x,0,x,1
4,33,1,33,5,square-green,0,x,0,x,1
4,34,1,34,8,triangle-green,0,x,0,x,1
4,35,1,35,9,triangle-blue,0,x,0,x,1
4,36,1,36,1,circle-red,1,y,1,y,1
4,37,1,37,2,circle-green,1,y,1,y,1
4,38,1,38,9,triangle-blue,0,x,0,x,1
4,39,1,39,1,circle-red,1,y,1,y,1
4,40,1,40,9,triangle-blue,0,x,0,x,1
4,41,1,41,6,square-blue,0,x,0,x,1
4,42,1,42,8,triangle-green,0,x,0,x,1
4,43,1,43,4,square-red,0,x,0,x,1
4,44,1,44,9,triangle-blue,0,x,0,x,1
4,45,1,45,5,square-green,0,x,0,x,1
4,46,1,46,1,circle-red,1,y,1,y,1
4,47,1,47,4,square-red,0,x,0,x,1
4,48,1,48,2,circle-green,1,y,1,y,1
4,49,1,49,2,circle-green,1,y,1,y,1
4,50,1,50,1,circle-red,1,y,1,y,1
4,51,1,51,3,circle-blue,1,y,1,y,1
4,52,1,52,5,square-green,0,x,0,x,1
4,53,1,53,5,square-green,0,x,0,x,1
4,54,1,54,3,circle-blue,1,y,1,y,1
4,55,1,55,2,circle-green,1,y,1,y,1
4,56,1,56,7,triangle-red,0,x,0,x,1
4,57,1,57,1,circle-red,1,y,1,y,1
4,58,1,58,8,triangle-green,0,x,0,x,1
4,59,1,59,9,triangle-blue,0,x,0,x,1
